75.3,2.24,874,4.35,44.3,1.98,25,1.77,80,2.26,334,3.18,357,3.31,63.7,2.18,279,3.09,116,2.58
77.6,2.25,575,3.78,42.6,1.96,24.6,1.77,82.6,2.28,315,3.13,349,3.29,61.4,2.16,279,3.09,125,2.63
74.5,2.23,419,3.46,41.2,1.95,25.1,1.78,101,2.39,317,3.14,342,3.27,61.7,2.17,277,3.08,163,2.78
71.8,2.21,341,3.26,38.3,1.92,23.8,1.76,95.7,2.36,313,3.13,331,3.24,61.1,2.16,278,3.09,163,2.78
72.4,2.22,295,3.13,37.3,1.91,23.8,1.76,87.5,2.32,301,3.09,331,3.24,63.9,2.18,275,3.08,147,2.72
70.3,2.2,258,3.02,37.4,1.91,26.9,1.81,80.3,2.27,281,3.03,330,3.23,65.2,2.19,284,3.11,132,2.66
66.7,2.17,234,2.94,38.3,1.92,29.2,1.84,74.3,2.24,268,2.99,326,3.22,384,3.31,267,3.06,124,2.62
68.6,2.19,224,2.91,36.8,1.9,27.7,1.82,72.2,2.22,266,2.98,341,3.26,137,2.61,260,3.04,118,2.6
68.9,2.19,217,2.89,35.9,1.89,25.3,1.8,67.8,2.19,266,2.98,361,3.32,136,2.61,252,3.01,117,2.59
66.8,2.18,200,2.83,36.9,1.9,26.7,1.82,63.4,2.17,266,2.98,378,3.36,110,2.49,243,2.99,110,2.56
68.1,2.18,186,2.78,41.2,1.95,27.3,1.83,62.6,2.16,266,2.99,350,3.29,89.1,2.38,243,2.98,104,2.53
65.9,2.16,172,2.73,43.6,1.97,25.8,1.81,63.2,2.17,263,2.98,361,3.32,79.1,2.32,239,2.97,104,2.53
67.2,2.17,162,2.69,59,2.11,26.4,1.82,61.5,2.16,276,3.02,584,3.79,72.6,2.28,238,2.97,108,2.55
67.8,2.17,148,2.63,86,2.31,22.8,1.77,57.3,2.13,260,2.97,575,3.79,65.7,2.23,242,2.99,125,2.62
60.4,2.11,140,2.59,128,2.53,20.5,1.73,56.4,2.13,249,2.93,486,3.61,61.7,2.21,245,3,146,2.71
58.5,2.1,131,2.55,116,2.48,21.2,1.74,57.5,2.14,239,2.9,415,3.45,61.3,2.2,252,3.02,207,2.92
60,2.11,122,2.51,97.4,2.38,23.5,1.79,56.9,2.14,227,2.86,375,3.35,58,2.17,272,3.09,211,2.93
58.2,2.1,113,2.46,85,2.3,24.2,1.8,54.6,2.13,222,2.84,351,3.29,53.6,2.14,301,3.17,185,2.85
55.4,2.07,109,2.44,75.3,2.24,19.8,1.73,53.2,2.11,217,2.83,338,3.26,53.8,2.14,304,3.18,169,2.8
56.2,2.08,106,2.43,68.7,2.19,21.5,1.76,56.8,2.14,213,2.81,333,3.24,53.3,2.13,269,3.08,156,2.75
56.5,2.08,102,2.4,61.7,2.13,21,1.76,56.1,2.14,216,2.82,397,3.39,49,2.1,249,3.02,147,2.72
52.7,2.04,99.6,2.39,58.5,2.11,19.4,1.73,58.3,2.16,218,2.83,573,3.78,51.6,2.12,230,2.96,142,2.7
49,2.01,97.5,2.38,56.5,2.09,17.8,1.71,62.3,2.19,306,3.1,435,3.5,51.1,2.11,226,2.95,130,
55,2.06,97.7,2.38,53.1,2.06,18,1.71,57.7,2.15,388,3.32,390,3.39,48.6,2.09,215,2.91,123,
56.1,2.07,97.6,2.38,46.2,2.01,15.5,1.67,57.1,2.15,341,3.2,366,3.33,45.2,2.06,218,2.92,120,
51.8,2.03,91,2.34,43.2,1.98,15.9,1.68,63.8,2.2,301,3.09,347,3.28,42.9,2.04,207,2.89,125,2.62
49.5,2.01,87.8,2.32,40.6,1.95,18.9,1.73,63.9,2.2,285,3.05,384,3.36,43.8,2.05,208,2.89,125,2.63
49.1,2.01,84.3,2.3,40.4,1.95,21.1,1.77,972,4.47,762,4.11,332,3.24,41.3,2.02,225,2.95,123,2.62
49.1,2.01,78.3,2.26,38,1.92,20,1.76,427,3.45,1150,4.9,328,3.23,39,1.99,234,2.98,123,2.62
46.9,1.99,75.6,2.24,34.7,1.89,16.4,1.7,409,3.44,969,4.54,323,3.21,36.7,1.97,248,3.02,119,2.6
46.9,1.99,72.9,2.22,34.2,1.88,15.5,1.68,279,3.1,894,4.39,307,3.17,37.3,1.98,233,2.98,114,2.58
47.2,1.98,69.2,2.19,35.4,1.9,16.8,1.71,214,2.91,1150,4.9,293,3.13,38.9,1.99,216,2.92,109,2.55
45.1,1.96,66.3,2.17,34.1,1.89,16.2,1.69,178,2.79,872,4.34,275,3.07,36.1,1.96,205,2.89,105,2.53
43.8,1.94,62.7,2.14,31.4,1.85,16.3,1.7,165,2.74,767,4.11,264,3.04,34.3,1.94,268,3.07,102,2.52
45.8,1.96,61.1,2.13,28.6,1.82,15.2,1.67,603,3.75,689,3.96,262,3.03,37.5,1.98,574,3.8,98.2,2.5
48.3,1.99,58.7,2.11,28.8,1.82,16,1.7,370,3.34,629,3.85,258,3.02,41.6,2.02,579,3.8,93.2,2.47
45.9,1.97,56.1,2.09,31.9,1.86,18.3,1.75,283,3.12,624,3.84,243,2.97,41.8,2.02,412,3.47,89.1,2.45
43.2,1.94,51.8,2.05,33.3,1.89,17.1,1.72,274,3.09,652,3.9,238,2.95,43.8,2.04,342,3.3,83.2,2.42
37.4,1.88,49.5,2.03,29.5,1.84,15.1,1.68,250,3.02,588,3.77,228,2.92,51.4,2.12,302,3.18,79.2,2.39
36.6,1.87,46.9,2.01,37.1,1.93,12.4,1.62,198,2.85,824,4.25,222,2.9,49.1,2.1,279,3.12,71.9,2.34
38.2,1.89,45.2,1.99,34.2,1.9,10.7,1.58,170,2.76,796,4.18,218,2.89,49.5,2.1,271,3.1,68.5,2.32
33.4,1.82,43.9,1.98,40,1.96,9.65,1.55,151,2.68,624,3.84,214,2.88,48.8,2.09,274,3.1,67.2,2.31
34.1,1.83,43.7,1.97,54.5,2.09,8.77,1.53,133,2.61,569,3.74,205,2.85,45,2.06,319,3.22,64.5,2.29
32.9,1.81,42.7,1.96,64.2,2.18,7.38,1.48,120,2.55,537,3.66,196,2.82,67.2,2.23,1270,5.06,62.4,2.27
33.6,1.82,41.6,1.95,42.4,2,5.74,1.42,120,2.55,506,3.6,184,2.77,101,2.46,794,4.2,61.2,2.26
35.2,1.84,72.6,2.21,35.8,1.93,4.89,1.38,143,2.65,484,3.55,180,2.76,292,3.19,605,3.87,58.4,2.24
34.9,1.84,75.4,2.24,27.6,1.82,4.32,1.35,202,2.87,461,3.5,182,2.76,171,2.81,508,3.69,55.6,2.22
35.6,1.85,66.1,2.17,24.5,1.78,3.81,1.33,162,2.73,443,3.46,185,2.78,122,2.61,2580,6.17,56.4,2.22
36.2,1.85,89.2,2.33,25.3,1.79,4.17,1.35,147,2.66,435,3.44,186,2.78,94.7,2.48,2230,6.42,53,2.19
34.8,1.84,103,2.39,34.6,1.91,5.92,1.44,140,2.63,420,3.4,189,2.79,75.2,2.37,1380,5.26,51.1,2.18
35,1.84,2090,6.11,42.7,2,5.56,1.42,133,2.61,427,3.42,200,2.83,62.5,2.29,1250,5.05,50,2.16
41.2,1.9,1720,5.68,163,2.66,5.64,1.43,123,2.56,711,4.01,210,2.86,56.5,2.24,1060,4.71,74.5,2.34
44.1,1.93,757,4.12,115,2.51,9.55,1.56,320,3.07,645,3.88,192,2.8,53.5,2.22,915,4.44,82.4,2.41
40.6,1.89,529,3.7,79.6,2.3,399,3.18,1810,5.91,524,3.64,181,2.76,49.4,2.18,824,4.26,62.8,2.27
50.9,1.99,463,3.56,69,2.23,252,3.06,1870,5.92,485,3.55,171,2.72,45.6,2.14,771,4.15,61.3,2.26
51.1,1.99,454,3.54,108,2.45,152,2.74,1580,5.57,552,3.7,163,2.69,49.4,2.18,768,4.14,191,2.78
45.1,1.94,437,3.5,112,2.5,90.1,2.46,4880,8.65,530,3.65,163,2.69,42,2.11,726,4.07,164,2.8
42.7,1.92,356,3.3,84.4,2.33,61.2,2.26,4070,8.29,5030,9.41,163,2.69,38.6,2.07,676,3.99,146,2.76
